ind,S1,S1_conf,ST,ST_conf
ind_growth,-0.009302,0.016504,0.035575,0.017209
ind_mitig,0.017404,0.021447,0.057269,0.017809
ind_trans_A,0.003186,0.005652,0.005622,0.002913
ind_trans_S,0.000986,0.008565,0.009731,0.004146
ind_trans_I,0.001610,0.020822,0.050734,0.021528
ind_trans_F,0.000216,0.004812,0.006691,0.003834
modal_scenario,0.042289,0.022568,0.084997,0.011410
costs_evolution_road,0.623382,0.058952,0.639115,0.048242
costs_evolution_rail,0.088781,0.024437,0.098500,0.010184
ur_ideal,0.002654,0.012754,0.039649,0.016680
urt_ideal,0.088338,0.030977,0.111098,0.011525
delay,0.001037,0.003235,0.001004,0.000345
