ind,S1,S1_conf,ST,ST_conf
ind_growth,0.013768,0.013737,0.024725,0.004742
ind_mitig,0.015659,0.013772,0.027804,0.005182
ind_trans_A,0.003999,0.007753,0.006065,0.001423
ind_trans_S,0.001201,0.002671,0.000905,0.000258
ind_trans_I,-0.000831,0.004338,0.002090,0.000659
ind_trans_F,0.001554,0.001942,0.000829,0.000281
modal_scenario,0.028758,0.019575,0.044848,0.006178
costs_evolution_road,0.079670,0.022545,0.076070,0.006322
costs_evolution_rail,0.036724,0.022271,0.081157,0.010457
ur_ideal,0.001154,0.001081,0.000143,0.000130
urt_ideal,0.696959,0.060605,0.780512,0.073176
delay,0.027234,0.022939,0.058313,0.008985
