ind,S1,S1_conf,ST,ST_conf
ind_growth,0.044291,0.025605,0.083478,0.011310
ind_mitig,0.032315,0.015313,0.033683,0.004022
ind_trans_A,0.013385,0.011837,0.015046,0.002415
ind_trans_S,0.087613,0.033655,0.136045,0.016418
ind_trans_I,0.013604,0.012961,0.025651,0.003712
ind_trans_F,0.000127,0.002684,0.001014,0.000195
modal_scenario,0.022809,0.025183,0.086578,0.012422
costs_evolution_road,0.226195,0.037823,0.250528,0.025247
costs_evolution_rail,0.002967,0.009352,0.013974,0.002351
ur_ideal,0.226089,0.042022,0.242043,0.025358
urt_ideal,0.152080,0.042384,0.198130,0.024052
delay,0.034206,0.017437,0.039016,0.005643
