ind,S1,S1_conf,ST,ST_conf
ind_growth,0.013455,0.018731,0.051421,0.012567
ind_mitig,0.214094,0.043151,0.245068,0.026774
ind_trans_A,0.017974,0.009963,0.016438,0.003109
ind_trans_S,0.006169,0.008595,0.008849,0.002484
ind_trans_I,0.035203,0.024446,0.071036,0.015863
ind_trans_F,0.002540,0.002989,0.001560,0.000479
modal_scenario,0.027708,0.028708,0.123263,0.017278
costs_evolution_road,0.152905,0.033422,0.179731,0.018960
costs_evolution_rail,0.006798,0.013215,0.020098,0.003295
ur_ideal,0.184899,0.035371,0.210335,0.022881
urt_ideal,0.153444,0.041182,0.235818,0.030351
delay,0.013227,0.013298,0.022672,0.003413
