ind,S1,S1_conf,ST,ST_conf
ind_growth,0.109303,0.039068,0.241695,0.040201
ind_mitig,0.001778,0.002424,0.000866,0.000188
ind_trans_A,0.006109,0.006539,0.005674,0.000750
ind_trans_S,0.022747,0.031346,0.159484,0.025817
ind_trans_I,0.000190,0.002444,0.000665,0.000141
ind_trans_F,-0.000275,0.000602,0.000054,0.000010
modal_scenario,0.005426,0.017008,0.032078,0.004589
costs_evolution_road,0.340598,0.042082,0.333278,0.031893
costs_evolution_rail,0.036786,0.018281,0.052339,0.007776
ur_ideal,0.063923,0.033442,0.155254,0.028991
urt_ideal,0.186354,0.038190,0.236283,0.030145
delay,-0.000092,0.000673,0.000055,0.000010
