ind,S1,S1_conf,ST,ST_conf
Growth_drivers,0.163324,0.024851,0.171157,0.014904
Mitigation_challenges,0.277654,0.037727,0.302648,0.021862
Transport_activity,0.029177,0.010747,0.026977,0.002422
Transport_structure,0.012618,0.009774,0.017583,0.002104
Transport_intensity,0.025556,0.014246,0.038825,0.004255
Transport_fuel,0.003381,0.004044,0.002902,0.000374
Modal_scenario,0.031796,0.014071,0.049091,0.005114
Road_costs,0.275473,0.037953,0.288439,0.025411
Rail_costs,0.046859,0.017393,0.061115,0.005520
Road_target,-0.000213,0.004969,0.004863,0.001831
Rail_target,0.073792,0.023140,0.085976,0.007607
Delay,-0.000492,0.002087,0.001119,0.000234
