ind,S1,S1_conf,ST,ST_conf
Growth_drivers,0.119734,0.026234,0.138596,0.013448
Mitigation_challenges,0.000443,0.003227,0.002019,0.000291
Transport_activity,0.019762,0.011250,0.020445,0.002248
Transport_structure,0.074774,0.024816,0.098257,0.010674
Transport_intensity,0.003986,0.005315,0.006085,0.000915
Transport_fuel,-0.000763,0.001229,0.000306,0.000050
Modal_scenario,0.043785,0.027539,0.132594,0.013551
Road_costs,0.158758,0.029530,0.178019,0.015906
Rail_costs,0.001237,0.007669,0.012235,0.001747
Road_target,0.174358,0.029157,0.195783,0.016925
Rail_target,0.202394,0.034887,0.271378,0.025062
Delay,0.059393,0.021284,0.076227,0.008713
