ind,S1,S1_conf,ST,ST_conf
Growth_drivers,0.051229,0.018044,0.056468,0.005202
Mitigation_challenges,0.004930,0.007132,0.009438,0.001620
Transport_activity,0.035217,0.011422,0.028166,0.002531
Transport_structure,0.004584,0.005290,0.005257,0.001059
Transport_intensity,0.007330,0.006368,0.011043,0.001996
Transport_fuel,0.001911,0.001283,0.000416,0.000093
Modal_scenario,0.044715,0.033984,0.175872,0.022944
Road_costs,0.154357,0.033800,0.166978,0.014461
Rail_costs,0.004074,0.010084,0.019990,0.003195
Road_target,0.291715,0.045521,0.311220,0.025018
Rail_target,0.232379,0.041066,0.343179,0.031486
Delay,0.016584,0.011462,0.032036,0.003685
