ind,S1,S1_conf,ST,ST_conf
Growth_drivers,0.124148,0.014138,0.231613,0.010282
Mitigation_challenges,0.004660,0.002228,0.004979,0.000170
Transport_activity,0.005569,0.002969,0.006851,0.000296
Transport_structure,0.025105,0.013487,0.145744,0.007908
Transport_intensity,-0.000083,0.000509,0.000238,0.000016
Transport_fuel,-0.000096,0.000122,0.000013,0.000001
Modal_scenario,0.016331,0.006930,0.039981,0.002153
Road_costs,0.328844,0.017534,0.343592,0.009177
Rail_costs,0.038729,0.006413,0.045350,0.002160
Road_target,0.049447,0.012431,0.160411,0.009231
Rail_target,0.212447,0.015073,0.249231,0.008847
Delay,-0.000003,0.000560,0.000241,0.000013
