"SC","Year","ISO3","POP","GCAP","carPKM","motorPKM","ptPKM","walkPKM","cyclePKM"
"BAU",2015,"ESP",16866,28328.8217165849,149959143600.85,4683145482.91558,42594154224.1029,1769206993.65203,2743756942.72566
"ROG",2015,"ESP",16866,28328.8217165849,140151758072.655,5273051922.86486,44087707291.1159,2024083375.77573,3138594642.33103
"LUT",2015,"ESP",16866,28328.8217165849,140151758072.655,5273051922.86486,44087707291.1159,2024083375.77573,3138594642.33103
"BAU",2020,"ESP",17530,30430.2289013345,152487899203.762,5490412319.37579,50328412825.264,2067765889.06489,3240918212.55059
"ROG",2020,"ESP",17530,30430.2289013345,127869380876.654,7008951152.59321,54269379150.2874,2699505369.8106,4230321791.63467
"LUT",2020,"ESP",17530,30430.2289013345,127869380876.654,7008951152.59321,54269379150.2874,2699505369.8106,4230321791.63467
"BAU",2025,"ESP",18010,32509.2844689316,154342412705.648,6129331950.94604,56330741632.5871,2295259655.84624,3637841264.3508
"ROG",2025,"ESP",18010,32509.2844689316,100840477771.831,9000439661.95376,70783327570.7505,3484937569.12311,5521910702.04402
"LUT",2025,"ESP",18010,32509.2844689316,99552548514.9626,8946909781.77121,71093950893.8796,3461055510.24292,5484986801.49957
"BAU",2030,"ESP",18383,35044.4611022051,155057184765.457,6790551664.26755,62533894061.2011,2526084511.15168,4059131144.22217
"ROG",2030,"ESP",18383,35044.4611022051,84735808222.3128,10020046688.2493,88830664816.5816,3863442013.40585,6204831729.07523
"LUT",2030,"ESP",18383,35044.4611022051,82730651833.1397,9874349579.41892,89513614239.1304,3800107001.67874,6105329568.10853
"BAU",2035,"ESP",18947,37375.3442440307,160374589051.025,7333433734.00616,67448902350.2068,2698219831.66482,4394029169.26998
"ROG",2035,"ESP",18947,37375.3442440307,81859430917.681,10380645484.1311,104449641385.5,3955410165.99344,6436205709.13773
"LUT",2035,"ESP",18947,37375.3442440307,78736863749.9065,10119199642.2277,105278396078.511,3842719712.48964,6257531956.50142
"BAU",2040,"ESP",19503,39400.7319747916,165115956055.696,7886858826.30352,72450588259.4968,2872242548.27773,4733377712.3804
"ROG",2040,"ESP",19503,39400.7319747916,79296894792.8551,10710963800.831,119775836920.709,4035011274.44872,6641995338.81406
"LUT",2040,"ESP",19503,39400.7319747916,75073756123.7591,10306001403.3987,121012520305.255,3862387467.09032,6366360326.41286
"BAU",2045,"ESP",20031,41431.7064149293,171183538627.402,8336719715.41838,76434730610.5901,3002110972.19318,5007365874.7223
"ROG",2045,"ESP",20031,41431.7064149293,79540618630.2956,10840931501.2954,133879637478.103,4032783595.60307,6716005319.27752
"LUT",2045,"ESP",20031,41431.7064149293,74211155511.9666,10308010213.9924,135280150964.991,3808253705.06212,6354894880.88915
"BAU",2050,"ESP",20491,43723.126179552,175848590767.493,8853869852.5486,81095678384.7802,3154168726.62693,5332906987.60085
"ROG",2050,"ESP",20491,43723.126179552,77192705708.4408,10978400625.6647,150503211386.591,4034320963.48773,6806206874.80418
"LUT",2050,"ESP",20491,43723.126179552,70972895022.3501,10318960079.9817,151922625178.385,3758434177.6626,6358350137.94325
