"ISO","Country","Subject Descriptor","Units","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","olgroup"
"AFG","Afghanistan","GDP per capita","2005 USD PPP","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","760.82539999999995","792.47159999999997","770.74379999999996","827.84939999999995","847.56370000000004","937.75319999999999","947.07150000000001","1118.1900000000001","1183.0450000000001","1234.6690000000001","1355.191","1363.433","1378.9159999999999","1412.5160000000001","1453.9000000000001","1493.6679999999999","1533.4200000000001","1587.915","1652.2370000000001","1733.069","1824.287","1925.069","2035.115","2154.2739999999999","2281.6779999999999","2418.2939999999999","2564.3330000000001","2720.0549999999998","2885.7559999999999","3060.5509999999999","3245.5169999999998","3441.027","3647.5970000000002","3865.7310000000002","4094.3420000000001","4334.9880000000003","4588.1930000000002","4854.5720000000001","5134.607","5426.8000000000002","5733.348","6054.6769999999997","6391.1800000000003","6743.2389999999996","7109.0799999999999","7490.9499999999998","7889.1170000000002","8303.7819999999992","8735.1260000000002","Asia"
"ALB","Albania","GDP per capita","2005 USD PPP","4241.8199999999997","4397.1000000000004","4441.0900000000001","4404.3900000000003","4260.0200000000004","4238.5500000000002","4365.3000000000002","4216.0799999999999","4053.6399999999999","4368.9499999999998","3910.2199999999998","2833.75","2649.6199999999999","2941.8800000000001","3264.4299999999998","3598.3499999999999","3961.7600000000002","3581.4699999999998","4053.1799999999998","4471.7200000000003","4799.5100000000002","5126.2600000000002","5253.7600000000002","5522.9700000000003","5814.8400000000001","6101.5799999999999","6376.6000000000004","6731.3500000000004","7108.9200000000001","7318.5299999999997","7547.3500000000004","7707.8800000000001","7949.5100000000002","8010.8190000000004","8146.7259999999997","8337.1280000000006","8600.0830000000005","8903.0810000000001","9248.152","9613.0990000000002","9995.1659999999993","10394.82","10889.42","11402.33","11938.280000000001","12500.639999999999","13066.139999999999","13656.91","14273.620000000001","14915.040000000001","15581.07","16244.82","16932.080000000002","17642.740000000002","18376.610000000001","19133.790000000001","19896.040000000001","20680.119999999999","21487.139999999999","22318.380000000001","23174.009999999998","24042.16","24942.610000000001","25874.209999999999","26833.130000000001","27815.509999999998","28805.849999999999","29816.77","30845.66","31892.810000000001","32960.879999999997","Transition"
"DZA","Algeria","GDP per capita","2005 USD PPP","6358.1999999999998","6336.3199999999997","6522.6999999999998","6654.0299999999997","6806.8999999999996","6846.2700000000004","6675.7200000000003","6446.2700000000004","6212.7299999999996","6319.6899999999996","6211.3400000000001","5987.3800000000001","5951.1599999999999","5694.9700000000003","5525.5200000000004","5625.9099999999999","5755.8100000000004","5728.3800000000001","5933.1199999999999","6036.46","6081.4099999999999","6149.2200000000003","6344.1199999999999","6681.6400000000003","6924.3800000000001","7168.5699999999997","7201.6800000000003","7305.1400000000003","7410.3400000000001","7473.0","7603.9099999999999","7709.71","7854.4499999999998","7965.6030000000001","8160.2529999999997","8357.9860000000008","8533.9290000000001","8681.1399999999994","8808.8940000000002","8959.1579999999994","9139.9400000000005","9357.3690000000006","9530.2849999999999","9707.5630000000001","9887.7060000000001","10074.049999999999","10269.870000000001","10471.51","10678.549999999999","10889.32","11097.26","11315.83","11531.040000000001","11747.200000000001","11964.030000000001","12179.15","12398.18","12615.43","12832.889999999999","13049.219999999999","13265.209999999999","13490.66","13719.92","13954.440000000001","14193.790000000001","14438.299999999999","14690.02","14947.18","15209.700000000001","15478.030000000001","15751.209999999999","Africa"
"AGO","Angola","GDP per capita","2005 USD PPP","3202.75","2959.1900000000001","2855.0100000000002","2869.8499999999999","2939.9200000000001","2949.1999999999998","2948.1999999999998","3101.1900000000001","3195.6999999999998","3127.77","3033.1500000000001","2907.1700000000001","2620.6300000000001","1909.3299999999999","1913.6900000000001","2049.5","2215.4299999999998","2327.0","2419.8899999999999","2429.27","2427.9000000000001","2423.8000000000002","2681.4299999999998","2675.02","2873.98","3354.6500000000001","3855.48","4501.0900000000001","5020.3199999999997","4998.1599999999999","5025.8100000000004","5068.2600000000002","5464.8299999999999","5681.6440000000002","5797.8699999999999","5816.3980000000001","5809.3670000000002","5814.6289999999999","5853.2790000000005","5918.9830000000002","6020.0290000000005","6130.299","6304.4849999999997","6488.0799999999999","6680.3620000000001","6886.7550000000001","7094.5249999999996","7315.701","7550.2309999999998","7797.8549999999996","8052.1400000000003","8314.866","8585.4509999999991","8870.1949999999997","9169.8209999999999","9482.7119999999995","9801.2710000000006","10133.5","10483.15","10850.299999999999","11236.9","11631.540000000001","12049.450000000001","12493.48","12963.9","13461.41","13971.209999999999","14507.860000000001","15072.110000000001","15664.530000000001","16284.690000000001","Africa"
"ATG","Antigua and Barbuda","GDP per capita","2005 USD PPP","null","null","null","null","null","null","null","null","null","null","14652.370000000001","14829.540000000001","14714.370000000001","15164.68","15716.709999999999","14663.860000000001","15229.67","15534.35","15787.6","16041.620000000001","16602.060000000001","15814.42","16057.129999999999","16929.48","17584.240000000002","18468.07","20627.650000000001","22338.16","22104.709999999999","19229.91","17665.34","16989.060000000001","17206.220000000001","17310.27","17680.939999999999","18101.610000000001","18548.98","19008.52","19472.869999999999","19909.82","20372.639999999999","20849.130000000001","21361.869999999999","21900.759999999998","22468.799999999999","23066.709999999999","23680.950000000001","24324.029999999999","24998.799999999999","25708.509999999998","26453.459999999999","27190.25","27960.509999999998","28766.48","29604.84","30474.830000000002","31325.869999999999","32203.91","33109.019999999997","34040.18","34994.07","35930.209999999999","36886.879999999997","37859.32","38847.190000000002","39846.529999999999","40820.290000000001","41801.040000000001","42788.360000000001","43788.019999999997","44797.550000000003","null"
"ARG","Argentina","GDP per capita","2005 USD PPP","10075.43","9358.9500000000007","8760.2099999999991","8961.5799999999999","9021.3899999999994","8212.1399999999994","8727.5799999999999","8849.7700000000004","8498.6499999999996","7749.6999999999998","7458.3000000000002","8288.6900000000005","9154.9200000000001","9569.5699999999997","9999.1000000000004","9593.4200000000001","9999.6900000000005","10681.280000000001","10963.68","10474.709999999999","10282.41","9731.2099999999991","8589.25","9263.6800000000003","10010.709999999999","10833.41","11647.389999999999","12544.620000000001","13301.889999999999","13296.389999999999","14388.799999999999","15529.459999999999","15688.059999999999","16002.559999999999","15939.4","15997.200000000001","15707.469999999999","16015.09","16352.73","16678.299999999999","17014.779999999999","17382.299999999999","17775.25","18183.490000000002","18606.709999999999","19044.360000000001","19501.619999999999","19971.580000000002","20452.689999999999","20942.889999999999","21440.080000000002","21935.889999999999","22435.0","22936.119999999999","23438.349999999999","23941.18","24454.209999999999","24967.759999999998","25482.23","25998.25","26516.619999999999","27045.41","27580.16","28122.290000000001","28673.0","29233.32","29796.990000000002","30371.41","30957.09","31554.360000000001","32163.43","Latin America"
"ARM","Armenia","GDP per capita","2005 USD PPP","2822.7199999999998","2836.5700000000002","2875.6100000000001","2925.1700000000001","2922.48","2909.0","2979.98","2965.8600000000001","2964.5599999999999","3022.7399999999998","2936.04","2616.6199999999999","1550.29","1447.24","1562.4000000000001","1705.1199999999999","1834.1400000000001","1917.6400000000001","2074.6599999999999","2155.9299999999998","2293.9099999999999","2522.5599999999999","2859.6199999999999","3260.52","3600.4499999999998","4096.4399999999996","4631.29","5258.3500000000004","5606.9700000000003","4804.3900000000003","4893.8400000000001","5105.7700000000004","5310.3500000000004","5470.1949999999997","5648.8400000000001","5805.7960000000003","5905.1130000000003","6045.0500000000002","6221.25","6436.152","6660.799","6929.0119999999997","7438.2190000000001","7992.0309999999999","8596.7070000000003","9256.902","9926.7939999999999","10653.219999999999","11440.68","12291.200000000001","13210.4","14136.15","15127.209999999999","16185.24","17310.66","18504.029999999999","19698.459999999999","20957.75","22282.25","23673.34","25133.610000000001","26591.220000000001","28124.82","29739.810000000001","31442.09","33233.379999999997","35060.209999999999","36975.260000000002","38986.110000000001","41101.099999999999","43334.349999999999","Transition"
"AUS","Australia","GDP per capita","2005 USD PPP","20170.84","20585.360000000001","20945.459999999999","20151.450000000001","20775.330000000002","21543.77","22145.18","22314.220000000001","23089.23","23577.0","24157.720000000001","23690.880000000001","23419.68","24015.48","24729.400000000001","25520.560000000001","26275.09","26996.959999999999","27896.009999999998","29016.669999999998","29836.5","30061.669999999998","30850.869999999999","31459.279999999999","32288.490000000002","32705.040000000001","33132.790000000001","33617.349999999999","34216.459999999999","34071.360000000001","34410.349999999999","34726.910000000003","35485.419999999998","35746.739999999998","36231.150000000001","36675.669999999998","37123.370000000003","37778.199999999997","38462.349999999999","39137.639999999999","39777.5","40437.57","41304.940000000002","42186.410000000003","43054.919999999998","43943.519999999997","44849.489999999998","45766.07","46688.669999999998","47596.0","48509.709999999999","49429.519999999997","50356.089999999997","51288.410000000003","52194.720000000001","53105.580000000002","54019.599999999999","54934.239999999998","55847.050000000003","56727.050000000003","57611.260000000002","58499.480000000003","59392.459999999999","60291.709999999999","61168.040000000001","62057.470000000001","62961.440000000002","63881.529999999999","64818.839999999997","65625.580000000002","66447.789999999994","OECD Pacific"
"AUT","Austria","GDP per capita","2005 USD PPP","21192.509999999998","21173.459999999999","21589.139999999999","22243.990000000002","22223.610000000001","22765.540000000001","23233.130000000001","23546.029999999999","24298.68","25064.790000000001","26090.669999999998","26857.290000000001","27284.119999999999","27160.73","27690.580000000002","28072.240000000002","28717.59","29205.169999999998","30227.84","31198.259999999998","32164.650000000001","32295.849999999999","32392.880000000001","32579.939999999999","33123.25","33608.529999999999","34546.309999999998","35548.129999999997","36049.07","34532.260000000002","35166.25","36022.389999999999","36231.07","36294.239999999998","36375.699999999997","36648.940000000002","37057.93","37521.989999999998","37943.82","38322.599999999999","38700.18","39072.900000000001","39700.559999999998","40339.470000000001","40994.239999999998","41666.290000000001","42357.330000000002","43066.949999999997","43795.139999999999","44542.099999999999","45306.669999999998","46087.050000000003","46880.949999999997","47687.980000000003","48508.830000000002","49339.510000000002","50179.790000000001","51029.989999999998","51886.440000000002","52750.75","53624.059999999998","54506.0","55397.639999999999","56298.809999999998","57208.129999999997","58127.660000000003","59059.860000000001","60006.809999999998","60966.419999999998","61808.32","62664.360000000001","EEA + Turkey"
"AZE","Azerbaijan","GDP per capita","2005 USD PPP","null","null","null","null","null","null","null","null","null","null","4716.0460000000003","4608.9380000000001","3510.6309999999999","2658.2060000000001","2104.511","1833.325","1837.8900000000001","1927.4349999999999","2103.5250000000001","2241.3670000000002","2468.7460000000001","2687.4340000000002","2942.0250000000001","3236.1979999999999","3526.2849999999999","4406.0739999999996","5856.6779999999999","7235.9369999999999","7920.2929999999997","8552.2639999999992","8872.7939999999999","8856.6280000000006","9145.1039999999994","9359.9850000000006","9778.3940000000002","10143.530000000001","10395.85","10633.99","10969.25","11378.459999999999","11868.870000000001","12315.940000000001","12725.969999999999","13113.41","13482.690000000001","13919.780000000001","14320.09","14798.530000000001","15244.280000000001","15657.24","16083.24","16469.970000000001","16847.639999999999","17221.68","17597.189999999999","17974.939999999999","18384.759999999998","18811.91","19254.599999999999","19712.77","20185.84","20671.790000000001","21171.220000000001","21682.869999999999","22205.290000000001","22737.529999999999","23275.310000000001","23819.209999999999","24369.369999999999","24926.669999999998","25492.07","Transition"
