"ISO","Country","Subject Descriptor","Units","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"AFG","Afghanistan","GDP"," (millions) 2005 USD","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","5039.8119669999996","5477.9024449999997","5514.6162999999997","6167.0","6497.605431","7364.3529639999997","7648.8675279999998","9223.3889770000005","10001.67893","10649.696379999999","12137.2677","12614.62823","12776.303159999999","12963.57647","13225.037909999999","13628.35975","14107.53284","14674.052449999999","15260.24577","15866.276040000001","16320.2063","16783.987229999999","17257.670969999999","17741.812999999998","18234.80877","18737.25488","19248.63406","19768.661489999999","20297.024259999998","20832.522649999999","21375.56898","21926.06121","22483.325250000002","23046.883829999999","23614.874159999999","24187.563600000001","24764.2873","25344.478889999999","25928.36825","26515.44224","27107.629110000002","27705.815709999999","28310.626219999998","28923.480780000002","29543.67928","30173.81336","30814.595789999999","31423.33856","32042.794259999999"
"ALB","Albania","GDP"," (billions) 2005 USD","4951.2700000000004","5235.75","5390.1300000000001","5449.6899999999996","5381.4799999999996","5477.3000000000002","5786.0699999999997","5740.4899999999998","5658.9700000000003","6215.6199999999999","5620.4300000000003","4075.8899999999999","3782.4299999999998","4145.5500000000002","4535.2299999999996","4938.8699999999999","5388.3000000000002","4838.6899999999996","5453.21","6003.9799999999996","6442.2700000000004","6893.2299999999996","7093.1400000000003","7497.4499999999998","7939.79","8376.4799999999996","8795.3099999999995","9323.0300000000007","9882.4099999999999","10210.01","10567.360000000001","10831.540000000001","11210.65","11335.41446","11564.52636","11869.79286","12277.26173","12740.891799999999","13263.509309999999","13813.07221","14385.216200000001","14980.110500000001","15708.74475","16460.177759999999","17240.545440000002","18053.965950000002","18866.013729999999","19707.7487","20579.079880000001","21477.071650000002","22400.384340000001","23309.25865","24239.78227","25190.714790000002","26160.741389999999","27148.927599999999","28128.348249999999","29121.727650000001","30129.834879999999","31153.761480000001","32193.00304","33230.284740000003","34292.02736","35375.31179","36473.489430000001","37580.143210000002","38673.259969999999","39769.295830000003","40864.761100000003","41960.449650000002","43060.049619999998"
"DZA","Algeria","GDP"," (billions) 2005 USD","51917.760000000002","53475.300000000003","56897.709999999999","59970.199999999997","63328.529999999999","65671.679999999993","65934.369999999995","65472.830000000002","64818.099999999999","67670.100000000006","68211.460000000006","67392.919999999998","68606.0","67165.270000000004","66560.789999999994","69090.089999999997","71922.789999999994","72713.940000000002","76422.350000000006","78867.869999999995","80602.949999999997","82698.630000000005","86585.470000000001","92559.869999999995","97372.979999999996","102339.0","104385.78","107517.35000000001","110742.88","113373.02","117068.97","120411.28999999999","124395.7","127878.41130000001","132738.07800000001","137698.08410000001","142338.47930000001","146521.23060000001","150382.6324","154630.71739999999","159412.56349999999","164848.39939999999","169507.20699999999","174235.34270000001","178997.8469","183849.182","188845.4541","193921.67679999999","199074.3455","204280.1177","209421.63200000001","214752.42499999999","220006.6539","225267.79399999999","230533.20680000001","235758.37349999999","241052.08059999999","246302.10569999999","251545.62340000001","256753.3449","261937.6059","267290.45150000002","272696.85350000003","278177.61420000001","283713.82169999997","289302.38439999998","294978.75410000002","300702.44829999999","306464.3113","312265.34730000002","318077.88219999999"
"AGO","Angola","GDP"," (billions) 2005 USD","12486.85","11937.43","11937.43","12438.799999999999","13185.129999999999","13646.610000000001","14028.709999999999","15136.98","15984.65","16048.59","16000.450000000001","15808.440000000001","14717.66","11082.4","11470.280000000001","12663.190000000001","14081.469999999999","15193.9","16227.809999999999","16753.560000000001","17258.189999999999","17800.439999999999","20379.82","21054.040000000001","23408.470000000001","28233.709999999999","33474.839999999997","40263.389999999999","46221.559999999998","47336.889999999999","48950.129999999997","50751.489999999998","56240.269999999997","60072.249969999997","62958.41807","64845.719169999997","66475.932780000003","68269.535789999994","70485.720029999997","73068.940340000001","76142.856249999997","79398.415219999995","83569.580820000003","87977.754520000002","92626.160329999999","97602.764670000004","102736.7947","108205.4384","114017.5064","120177.1004","126591.22530000001","133292.44080000001","140277.6378","147656.89129999999","155453.08900000001","163649.8732","172122.72260000001","181017.23319999999","190411.55189999999","200321.39679999999","210796.66149999999","221634.1612","233131.43780000001","245361.22380000001","258347.0551","272121.23719999997","286397.47519999999","301483.37670000002","317410.50069999998","334207.7893","351881.15730000002"
"ATG","Antigua and Barbuda","GDP"," (billions) 2005 USD","358.43143270000002","370.09063329999998","366.86026240000001","389.75786770000002","430.35346670000001","461.98862380000003","500.2653037","535.90808519999996","565.01431749999995","599.753199","616.41257880000001","632.74983480000003","638.85009209999998","673.87620360000005","716.43539080000005","680.59419439999999","721.9136135","765.81767600000001","805.12747560000003","840.72981709999999","869.19501290000005","830.99393780000003","852.18524009999999","900.73926619999997","930.05571899999995","997.0","1123.7759490000001","1203.1850320000001","1221.7927299999999","1091.3249290000001","998.36325850000003","979.78024949999997","1015.156959","1030.825934","1074.009233","1097.1916329999999","1119.13626","1146.03709","1176.7302380000001","1208.680977","1241.1625939999999","1274.891756","1311.366096","1348.6319599999999","1386.6935370000001","1425.595462","1465.2088060000001","1505.581506","1546.671998","1588.457398","1630.9125610000001","1673.941088","1717.5761090000001","1761.8094249999999","1806.5868720000001","1851.8701000000001","1897.5094280000001","1943.5263420000001","1989.8674169999999","2036.4871439999999","2083.4039969999999","2130.5767420000002","2178.1603180000002","2226.2259869999998","2274.8239020000001","2324.0681749999999","2373.9025499999998","2424.5352720000001","2476.0236140000002","2524.9374950000001","2574.712184"
"ARG","Argentina","GDP"," (billions) 2005 USD","123906.3","116856.62","111063.83","115367.69","117919.36","108973.2","117555.67999999999","120976.55","117883.28999999999","109046.53999999999","106430.55","119914.99000000001","134233.78","142162.85999999999","150459.76999999999","146178.88","154257.72","166769.64000000001","173190.56","167327.26999999999","166007.06","158688.07999999999","141399.82999999999","153895.41","167791.5","183193.0","198702.22","215896.59","230942.64000000001","232871.0","254204.31","276747.13","282004.15999999997","290141.00929999998","291457.40299999999","294959.2953","291988.4106","300094.43070000003","308824.51899999997","317386.7083","326211.77929999999","335687.7341","345712.78149999998","356094.26750000002","366827.62729999999","377903.67509999999","389425.80430000002","401257.59710000001","413370.16200000001","425725.12099999998","438280.58309999999","450863.1899","463564.00209999998","476351.98670000001","489202.76069999998","502099.69910000003","515240.43119999999","528417.68149999995","541635.07570000004","554901.1422","568227.38690000004","581782.97930000001","595467.25","609305.79370000004","623319.74360000005","637525.59310000006","651782.04980000004","666245.66899999999","680920.79009999998","695808.07999999996","710905.34080000001"
"ARM","Armenia","GDP"," (billions) 2005 USD","3410.1500000000001","3481.7600000000002","3582.4000000000001","3697.0300000000002","3748.79","3790.02","3949.1999999999998","4000.54","4060.54","4178.3000000000002","4060.73","3585.6199999999999","2086.8299999999999","1903.1900000000001","2005.96","2144.3699999999999","2270.1500000000001","2345.54","2516.77","2599.8200000000002","2753.21","3017.52","3415.4200000000001","3893.5799999999999","4302.3999999999996","4900.4399999999996","5547.29","6307.2700000000004","6736.1700000000001","5783.0","5904.21","6176.1599999999999","6441.7399999999998","6654.2983569999997","6889.4023310000002","7096.3821669999998","7230.2558660000004","7411.0091339999999","7633.3527990000002","7900.5041950000004","8177.036771","8504.1053950000005","9123.4152300000005","9793.6027730000005","10522.243270000001","11314.91741","12115.22725","12979.94009","13914.24042","14920.36455","16004.880370000001","17092.250339999999","18253.31105","19489.412359999998","20800.225190000001","22185.48763","23564.464230000001","25012.994729999999","26530.132239999999","28115.749159999999","29771.0543","31409.684499999999","33123.529900000001","34917.130270000001","36795.341009999996","38758.081550000003","40741.089899999999","42804.094980000002","44954.094490000003","47199.026330000001","49553.302250000001"
"AUS","Australia","GDP"," (billions) 2005 USD","309683.63","320166.25","330315.13","322486.44","337569.09000000003","355545.25","371350.71999999997","380331.0","399944.19","414732.03000000003","431060.53000000003","428281.09000000003","428483.09000000003","444345.25","462572.28000000003","482607.81","502394.63","521987.94","545477.56000000006","573842.13","596796.0","608134.68999999994","631243.75","651443.68999999994","677501.56000000006","696472.0","717365.68999999994","741038.88","768310.0","778866.56000000006","799763.63","819348.38","848835.5","866102.48679999996","888760.63489999995","910786.49490000005","933270.48470000003","961280.64560000005","990382.64950000006","1019517.652","1047904.438","1076981.4820000001","1111817.3060000001","1147308.8859999999","1182698.2679999999","1218866.6580000001","1255734.298","1293104.9280000001","1330834.3470000001","1368293.8959999999","1406082.436","1444178.2660000001","1482595.291","1521310.4240000001","1559388.9410000001","1597740.9180000001","1636322.004","1675049.24","1713853.1680000001","1751784.6170000001","1789979.493","1828437.7350000001","1867176.814","1906225.4569999999","1944627.997","1983499.27","2022876.4140000001","2062816.527","2103370.1379999998","2139742.3139999998","2176664.6290000002"
"AUT","Austria","GDP"," (billions) 2005 USD","176348.56","176086.45000000001","179515.70000000001","185016.73000000001","184981.66","189709.84","193895.32999999999","196881.45000000001","203703.81","210896.88","220608.09","228542.82999999999","233939.72","234719.16","240964.81","245567.01999999999","251998.70000000001","256634.22","265772.78000000003","274600.03000000003","283815.75","286175.53000000003","288627.15999999997","292131.84000000003","298877.28000000003","304984.0","315055.81","325625.38","331486.63","318598.40999999997","325378.19","334085.31","336639.15999999997","337720.14049999998","338911.84710000001","341882.2377","346130.89039999997","350903.00339999999","355289.9878","359275.96649999998","363246.73259999999","367171.81310000003","373499.28009999997","379935.17430000001","386511.93859999999","393233.35350000003","400112.39299999998","407142.50790000003","414314.3456","421618.2156","429033.44620000001","436535.89390000002","444100.41409999999","451722.59110000002","459410.05060000002","467125.79220000003","474865.27779999998","482627.62359999999","490375.82559999998","498123.29820000002","505879.05080000003","513637.53960000002","521408.08309999999","529190.10230000003","536973.10999999999","544778.20570000005","552630.49789999996","560548.54220000003","568507.83180000004","575287.47340000002","582114.56660000002"
"AZE","Azerbaijan","GDP"," (billions) 2005 USD","null","null","null","null","null","null","null","null","null","null","null","null","10234.59152","7540.2932049999999","6137.8248450000001","5337.5951789999999","5471.3070090000001","5957.9274889999997","6316.8992179999996","7035.9680449999996","7474.0252929999997","7959.534001","8605.9242360000007","9509.0613279999998","10477.997799999999","13245.0","17813.444879999999","22267.727220000001","24672.42006","26967.15697","28303.977500000001","28330.902669999999","28943.40914","30623.074089999998","31480.82388","31826.897720000001","30875.268950000001","31180.464240000001","31865.332869999998","32595.38867","33395.412790000002","33984.342259999998","34956.625939999998","35950.008999999998","36964.60312","38001.59809","39057.557090000002","40133.757980000002","41229.092830000001","42342.951569999997","43474.663959999998","44621.660300000003","45784.823750000003","46963.935740000001","48157.552430000003","49364.651550000002","50581.243110000003","51807.899830000002","53043.1976","54285.923329999998","55536.56942","56794.03673","58062.455419999998","59343.72509","60639.182650000002","61951.869960000004","63280.287420000001","64629.986129999998","66002.49278","67306.372950000004","68633.199389999994"
